(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,384.9823,-2837.650244,280,27.27,124.74,210.77,0.00,1.01,0.00,0.00,0.00,295.42,291.56,3.97
,1,81,conf-81,332.9157,-2837.809177,,15.89,25.01,42.26,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,333.1128,-2837.78734,,15.94,38.71,65.41,0.00,,0.00,0.00,0.00,,,
,3,197,conf-197,370.1677,-2837.7314,,24.36,73.81,124.72,0.00,,0.00,0.00,0.00,,,
,4,217,conf-217,313.0553,-2837.827017,,10.56,13.81,23.34,0.00,,0.00,0.00,0.00,,,
,5,231,conf-231,356.1628,-2837.654131,,21.38,122.30,206.65,0.00,,0.00,0.00,0.00,,,
,6,234,conf-234,291.1642,-2837.84903,,3.83,0.00,0.00,1.00,,0.99,291.16,287.36,,,
,7,497,conf-497,370.0156,-2837.638671,,24.33,132.00,223.04,0.00,,0.00,0.00,0.00,,,
,8,549,conf-549,384.3383,-2837.656144,,27.15,121.04,204.51,0.00,,0.00,0.00,0.00,,,
,9,553,conf-553,362.6739,-2837.814113,,22.80,21.91,37.02,0.00,,0.00,0.00,0.00,,,
,10,669,conf-669,367.45,-2837.815665,,23.80,20.94,35.38,0.00,,0.00,0.00,0.00,,,
,11,684,conf-684,301.1767,-2837.826734,,7.03,13.99,23.64,0.00,,0.00,0.00,0.00,,,
,12,747,conf-747,321.404,-2837.817838,,12.88,19.57,33.07,0.00,,0.00,0.00,0.00,,,
,13,771,conf-771,326.9979,-2837.826816,,14.37,13.94,23.55,0.00,,0.00,0.00,0.00,,,
,14,879,conf-879,321.7112,-2837.844951,,12.97,2.56,4.32,0.01,,0.01,4.26,4.20,,,
,15,883,conf-883,334.3855,-2837.793226,,16.26,35.02,59.17,0.00,,0.00,0.00,0.00,,,
,16,961,conf-961,372.5986,-2837.644886,,24.85,128.10,216.45,0.00,,0.00,0.00,0.00,,,
