(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,20,962,conf-962,282.1016,-2837.870609,280,0.74,0.00,0.00,1.00,1.00,1.00,282.10,282.10,282.10,282.10,0.74
,12,578,conf-578,283.1972,-2837.858495,,1.13,7.60,12.84,0.00,,0.00,0.00,0.00,,,
,6,448,conf-448,306.6199,-2837.847478,,8.68,14.51,24.53,0.00,,0.00,0.00,0.00,,,
,5,364,conf-364,316.2014,-2837.840573,,11.45,18.85,31.85,0.00,,0.00,0.00,0.00,,,
,21,966,conf-966,327.8941,-2837.841759,,14.61,18.10,30.59,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,332.8113,-2837.820606,,15.87,31.38,53.02,0.00,,0.00,0.00,0.00,,,
,15,746,conf-746,342.8553,-2837.813671,,18.33,35.73,60.37,0.00,,0.00,0.00,0.00,,,
,8,472,conf-472,342.8836,-2837.80816,,18.34,39.19,66.21,0.00,,0.00,0.00,0.00,,,
,9,474,conf-474,343.8594,-2837.796701,,18.57,46.38,78.36,0.00,,0.00,0.00,0.00,,,
,19,961,conf-961,345.5568,-2837.825445,,18.97,28.34,47.89,0.00,,0.00,0.00,0.00,,,
,18,883,conf-883,348.717,-2837.766898,,19.71,65.08,109.96,0.00,,0.00,0.00,0.00,,,
,16,772,conf-772,349.6702,-2837.81654,,19.92,33.93,57.33,0.00,,0.00,0.00,0.00,,,
,11,549,conf-549,354.473,-2837.816069,,21.01,34.22,57.83,0.00,,0.00,0.00,0.00,,,
,14,662,conf-662,356.8634,-2837.787086,,21.54,52.41,88.56,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,356.8746,-2837.811493,,21.54,37.10,62.68,0.00,,0.00,0.00,0.00,,,
,4,242,conf-242,357.6732,-2837.764381,,21.72,66.66,112.63,0.00,,0.00,0.00,0.00,,,
,7,450,conf-450,359.2245,-2837.802399,,22.05,42.80,72.32,0.00,,0.00,0.00,0.00,,,
,3,234,conf-234,366.1965,-2837.766238,,23.54,65.49,110.66,0.00,,0.00,0.00,0.00,,,
,17,876,conf-876,367.8847,-2837.770914,,23.89,62.56,105.70,0.00,,0.00,0.00,0.00,,,
,1,123,conf-123,374.4488,-2837.801423,,25.22,43.41,73.36,0.00,,0.00,0.00,0.00,,,
,10,535,conf-535,374.9416,-2837.74002,,25.32,81.94,138.46,0.00,,0.00,0.00,0.00,,,
,13,584,conf-584,383.9269,-2837.740024,,27.07,81.94,138.46,0.00,,0.00,0.00,0.00,,,
