(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,384.9823,-2837.746639,280,27.27,125.97,212.85,0.00,1.97,0.00,0.00,0.00,585.72,297.75,5.96
,1,81,conf-81,337.4953,-2837.905493,,17.04,26.29,44.42,0.00,,0.00,0.00,0.00,,,
,2,156,conf-156,345.8374,-2837.883877,,19.04,39.86,67.34,0.00,,0.00,0.00,0.00,,,
,3,197,conf-197,368.7649,-2837.907062,,24.07,25.31,42.76,0.00,,0.00,0.00,0.00,,,
,4,217,conf-217,347.0007,-2837.811582,,19.31,85.22,143.99,0.00,,0.00,0.00,0.00,,,
,5,234,conf-234,321.3265,-2837.900325,,12.86,29.53,49.90,0.00,,0.00,0.00,0.00,,,
,6,497,conf-497,301.8158,-2837.947391,,7.23,0.00,0.00,1.00,,0.51,301.82,153.43,,,
,7,549,conf-549,384.3383,-2837.752923,,27.15,122.03,206.19,0.00,,0.00,0.00,0.00,,,
,8,553,conf-553,362.9598,-2837.912057,,22.86,22.17,37.46,0.00,,0.00,0.00,0.00,,,
,9,684,conf-684,305.538,-2837.905915,,8.36,26.03,43.98,0.00,,0.00,0.00,0.00,,,
,10,747,conf-747,306.4272,-2837.925012,,8.62,14.04,23.73,0.00,,0.00,0.00,0.00,,,
,11,771,conf-771,359.1957,-2837.898562,,22.05,30.64,51.77,0.00,,0.00,0.00,0.00,,,
,12,879,conf-879,347.3864,-2837.836587,,19.40,69.53,117.48,0.00,,0.00,0.00,0.00,,,
,13,883,conf-883,334.0268,-2837.890489,,16.17,35.71,60.33,0.00,,0.00,0.00,0.00,,,
,14,961,conf-961,362.8883,-2837.764673,,22.84,114.66,193.73,0.00,,0.00,0.00,0.00,,,
,15,962,conf-962,293.5509,-2837.94736,,4.62,0.02,0.03,0.97,,0.49,283.91,144.32,,,
