(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,17,914,conf-914,230.6497,-1868.066317,232,0.59,0.00,0.00,1.00,1.00,1.00,230.65,230.65,230.65,230.65,0.59
,5,242,conf-242,257.2759,-1868.036068,,9.82,18.98,32.07,0.00,,0.00,0.00,0.00,,,
,3,126,conf-126,265.9577,-1868.033888,,12.77,20.35,34.38,0.00,,0.00,0.00,0.00,,,
,6,315,conf-315,271.5067,-1868.034468,,14.55,19.99,33.77,0.00,,0.00,0.00,0.00,,,
,14,796,conf-796,274.3708,-1868.001119,,15.44,40.91,69.13,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,274.6096,-1868.030634,,15.52,22.39,37.83,0.00,,0.00,0.00,0.00,,,
,10,586,conf-586,275.4066,-1868.002175,,15.76,40.25,68.01,0.00,,0.00,0.00,0.00,,,
,18,961,conf-961,275.4094,-1867.982492,,15.76,52.60,88.88,0.00,,0.00,0.00,0.00,,,
,13,771,conf-771,275.8575,-1868.027481,,15.90,24.37,41.18,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,275.972,-1868.023323,,15.93,26.98,45.59,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,277.2071,-1868.013842,,16.31,32.93,55.64,0.00,,0.00,0.00,0.00,,,
,4,231,conf-231,278.3833,-1868.009087,,16.66,35.91,60.68,0.00,,0.00,0.00,0.00,,,
,1,112,conf-112,279.4794,-1868.014953,,16.99,32.23,54.46,0.00,,0.00,0.00,0.00,,,
,11,684,conf-684,280.8728,-1868.018906,,17.40,29.75,50.27,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,281.11,-1868.021242,,17.47,28.28,47.79,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,281.6993,-1867.974358,,17.64,57.70,97.50,0.00,,0.00,0.00,0.00,,,
,12,746,conf-746,283.1202,-1867.987048,,18.06,49.74,84.05,0.00,,0.00,0.00,0.00,,,
,8,474,conf-474,285.5722,-1868.022457,,18.76,27.52,46.50,0.00,,0.00,0.00,0.00,,,
,9,549,conf-549,288.0169,-1868.028933,,19.45,23.46,39.64,0.00,,0.00,0.00,0.00,,,
,19,966,conf-966,291.5656,-1868.009921,,20.43,35.39,59.80,0.00,,0.00,0.00,0.00,,,
