(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,18,961,conf-961,223.3922,-1868.180984,232,3.85,0.00,0.00,1.00,1.00,1.00,223.39,223.39,223.39,223.39,3.85
,17,914,conf-914,227.044,-1868.158628,,2.18,14.03,23.70,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,250.781,-1868.082709,,7.49,61.67,104.20,0.00,,0.00,0.00,0.00,,,
,1,112,conf-112,257.4906,-1868.133139,,9.90,30.02,50.73,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,258.1742,-1868.114527,,10.14,41.70,70.46,0.00,,0.00,0.00,0.00,,,
,14,796,conf-796,258.4213,-1868.134411,,10.22,29.22,49.38,0.00,,0.00,0.00,0.00,,,
,13,771,conf-771,260.1063,-1868.115154,,10.81,41.31,69.80,0.00,,0.00,0.00,0.00,,,
,6,315,conf-315,262.5886,-1868.12627,,11.65,34.33,58.01,0.00,,0.00,0.00,0.00,,,
,5,242,conf-242,266.1685,-1868.074033,,12.84,67.11,113.40,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,267.6524,-1868.125447,,13.32,34.85,58.88,0.00,,0.00,0.00,0.00,,,
,10,586,conf-586,268.571,-1868.115956,,13.62,40.81,68.95,0.00,,0.00,0.00,0.00,,,
,4,231,conf-231,269.6388,-1868.064162,,13.96,73.31,123.86,0.00,,0.00,0.00,0.00,,,
,0,34,conf-34,271.9883,-1868.117055,,14.70,40.12,67.78,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,272.4406,-1868.127565,,14.84,33.52,56.64,0.00,,0.00,0.00,0.00,,,
,11,684,conf-684,279.6097,-1868.111723,,17.03,43.46,73.44,0.00,,0.00,0.00,0.00,,,
,12,746,conf-746,281.0499,-1868.090579,,17.45,56.73,95.85,0.00,,0.00,0.00,0.00,,,
,3,126,conf-126,282.3933,-1868.125454,,17.85,34.85,58.88,0.00,,0.00,0.00,0.00,,,
,8,474,conf-474,284.9606,-1868.123334,,18.59,36.18,61.12,0.00,,0.00,0.00,0.00,,,
,9,549,conf-549,286.3723,-1868.120198,,18.99,38.14,64.45,0.00,,0.00,0.00,0.00,,,
,19,966,conf-966,289.4598,-1868.108326,,19.85,45.59,77.04,0.00,,0.00,0.00,0.00,,,
