(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,266.0333,-1868.167132,232,12.79,38.08,64.35,0.00,1.00,0.00,0.00,0.00,232.05,232.05,0.02
,1,112,conf-112,256.4716,-1868.19623,,9.54,19.82,33.49,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,250.1569,-1868.14449,,7.26,52.29,88.35,0.00,,0.00,0.00,0.00,,,
,3,126,conf-126,251.6613,-1868.204341,,7.81,14.73,24.89,0.00,,0.00,0.00,0.00,,,
,4,231,conf-231,271.6125,-1868.145276,,14.58,51.80,87.52,0.00,,0.00,0.00,0.00,,,
,5,242,conf-242,272.6947,-1868.157796,,14.92,43.94,74.24,0.00,,0.00,0.00,0.00,,,
,6,315,conf-315,261.8946,-1868.188184,,11.41,24.87,42.02,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,272.2317,-1868.190241,,14.78,23.58,39.84,0.00,,0.00,0.00,0.00,,,
,8,474,conf-474,284.1947,-1868.186439,,18.37,25.97,43.87,0.00,,0.00,0.00,0.00,,,
,9,549,conf-549,285.9591,-1868.183318,,18.87,27.92,47.18,0.00,,0.00,0.00,0.00,,,
,10,586,conf-586,268.2779,-1868.177061,,13.52,31.85,53.82,0.00,,0.00,0.00,0.00,,,
,11,684,conf-684,277.029,-1868.184235,,16.25,27.35,46.21,0.00,,0.00,0.00,0.00,,,
,12,746,conf-746,279.8765,-1868.153081,,17.11,46.90,79.24,0.00,,0.00,0.00,0.00,,,
,13,771,conf-771,232.0495,-1868.22782,,0.02,0.00,0.00,1.00,,1.00,232.05,232.05,,,
,14,796,conf-796,254.1325,-1868.182641,,8.71,28.35,47.90,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,267.9037,-1868.188407,,13.40,24.73,41.79,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,271.6565,-1868.201059,,14.60,16.79,28.37,0.00,,0.00,0.00,0.00,,,
,17,914,conf-914,226.3698,-1868.219869,,2.49,4.99,8.43,0.00,,0.00,0.05,0.05,,,
,18,961,conf-961,273.4788,-1868.152789,,15.17,47.08,79.55,0.00,,0.00,0.00,0.00,,,
,19,966,conf-966,289.1936,-1868.171892,,19.78,35.09,59.30,0.00,,0.00,0.00,0.00,,,
