(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,370.8665,-3587.022829,312.9,15.63,21.73,36.71,0.00,1.00,0.00,0.00,0.00,359.15,359.15,12.88
,1,49,conf-49,385.1489,-3587.008834,,18.76,30.51,51.55,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,360.3768,-3587.000484,,13.17,35.75,60.40,0.00,,0.00,0.00,0.00,,,
,3,137,conf-137,411.1079,-3586.989665,,23.89,42.54,71.87,0.00,,0.00,0.00,0.00,,,
,4,156,conf-156,398.4971,-3586.989743,,21.48,42.49,71.79,0.00,,0.00,0.00,0.00,,,
,5,217,conf-217,412.1513,-3586.991412,,24.08,41.44,70.02,0.00,,0.00,0.00,0.00,,,
,6,234,conf-234,359.1513,-3587.057451,,12.88,0.00,0.00,1.00,,1.00,359.15,359.15,,,
,7,304,conf-304,387.8711,-3587.006178,,19.33,32.17,54.36,0.00,,0.00,0.00,0.00,,,
,8,315,conf-315,382.8481,-3586.984646,,18.27,45.69,77.19,0.00,,0.00,0.00,0.00,,,
,9,448,conf-448,369.1179,-3587.014434,,15.23,26.99,45.61,0.00,,0.00,0.00,0.00,,,
,10,472,conf-472,457.5556,-3586.795694,,31.61,164.25,277.53,0.00,,0.00,0.00,0.00,,,
,11,538,conf-538,446.9689,-3586.819597,,30.00,149.25,252.19,0.00,,0.00,0.00,0.00,,,
,12,549,conf-549,414.1258,-3586.874905,,24.44,114.55,193.55,0.00,,0.00,0.00,0.00,,,
,13,578,conf-578,416.055,-3586.998301,,24.79,37.12,62.71,0.00,,0.00,0.00,0.00,,,
,14,669,conf-669,457.5643,-3586.814788,,31.62,152.27,257.29,0.00,,0.00,0.00,0.00,,,
,15,727,conf-727,369.896,-3587.000309,,15.41,35.86,60.59,0.00,,0.00,0.00,0.00,,,
,16,746,conf-746,387.279,-3586.941262,,19.21,72.91,123.19,0.00,,0.00,0.00,0.00,,,
,17,876,conf-876,361.1787,-3587.019792,,13.37,23.63,39.93,0.00,,0.00,0.00,0.00,,,
,18,883,conf-883,393.127,-3587.014429,,20.41,27.00,45.62,0.00,,0.00,0.00,0.00,,,
,19,885,conf-885,366.3833,-3586.993387,,14.60,40.20,67.93,0.00,,0.00,0.00,0.00,,,
,20,929,conf-929,348.2219,-3587.054833,,10.14,1.64,2.78,0.06,,0.06,21.68,21.68,,,
,21,961,conf-961,399.705,-3586.988088,,21.72,43.53,73.54,0.00,,0.00,0.00,0.00,,,
,22,962,conf-962,362.0354,-3587.022166,,13.57,22.14,37.41,0.00,,0.00,0.00,0.00,,,
