(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,338.1422,-3586.904683,312.9,7.46,10.55,17.82,0.00,1.00,0.00,0.00,0.00,370.00,370.00,15.43
,1,49,conf-49,378.0595,-3586.880097,,17.24,25.97,43.89,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,352.1789,-3586.885006,,11.15,22.89,38.68,0.00,,0.00,0.00,0.00,,,
,3,137,conf-137,376.9407,-3586.882021,,16.99,24.77,41.85,0.00,,0.00,0.00,0.00,,,
,4,156,conf-156,409.8791,-3586.84621,,23.66,47.24,79.82,0.00,,0.00,0.00,0.00,,,
,5,217,conf-217,407.4528,-3586.859406,,23.21,38.96,65.83,0.00,,0.00,0.00,0.00,,,
,6,234,conf-234,370.0048,-3586.92149,,15.43,0.00,0.00,1.00,,1.00,370.00,370.00,,,
,7,304,conf-304,390.8296,-3586.874833,,19.94,29.28,49.47,0.00,,0.00,0.00,0.00,,,
,8,315,conf-315,367.1204,-3586.893455,,14.77,17.59,29.73,0.00,,0.00,0.00,0.00,,,
,9,448,conf-448,390.036,-3586.864754,,19.78,35.60,60.16,0.00,,0.00,0.00,0.00,,,
,10,472,conf-472,457.5556,-3586.665015,,31.61,160.94,271.93,0.00,,0.00,0.00,0.00,,,
,11,538,conf-538,410.9179,-3586.844239,,23.85,48.48,81.91,0.00,,0.00,0.00,0.00,,,
,12,549,conf-549,396.0201,-3586.861433,,20.99,37.69,63.68,0.00,,0.00,0.00,0.00,,,
,13,578,conf-578,417.0699,-3586.866735,,24.98,34.36,58.06,0.00,,0.00,0.00,0.00,,,
,14,669,conf-669,457.5643,-3586.683461,,31.62,149.36,252.38,0.00,,0.00,0.00,0.00,,,
,15,727,conf-727,419.5809,-3586.776891,,25.43,90.74,153.31,0.00,,0.00,0.00,0.00,,,
,16,746,conf-746,388.1628,-3586.810262,,19.39,69.80,117.93,0.00,,0.00,0.00,0.00,,,
,17,876,conf-876,381.9633,-3586.87696,,18.08,27.94,47.21,0.00,,0.00,0.00,0.00,,,
,18,883,conf-883,397.4731,-3586.885498,,21.28,22.58,38.16,0.00,,0.00,0.00,0.00,,,
,19,885,conf-885,441.9665,-3586.72456,,29.20,123.57,208.80,0.00,,0.00,0.00,0.00,,,
,20,929,conf-929,365.2094,-3586.877881,,14.32,27.36,46.24,0.00,,0.00,0.00,0.00,,,
,21,961,conf-961,401.5065,-3586.857172,,22.07,40.36,68.19,0.00,,0.00,0.00,0.00,,,
,22,962,conf-962,363.2784,-3586.891912,,13.87,18.56,31.36,0.00,,0.00,0.00,0.00,,,
