(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,389.1679,-3586.663934,312.9,19.60,15.41,26.03,0.00,1.08,0.00,0.00,0.00,424.16,394.48,20.68
,1,49,conf-49,393.9028,-3586.681477,,20.56,4.40,7.43,0.00,,0.00,0.23,0.22,,,
,2,102,conf-102,394.3631,-3586.688488,,20.66,0.00,0.00,1.00,,0.93,394.36,366.76,,,
,3,137,conf-137,427.0272,-3586.653857,,26.73,21.73,36.72,0.00,,0.00,0.00,0.00,,,
,4,156,conf-156,428.1557,-3586.633404,,26.92,34.57,58.40,0.00,,0.00,0.00,0.00,,,
,5,217,conf-217,427.112,-3586.636978,,26.74,32.32,54.62,0.00,,0.00,0.00,0.00,,,
,6,234,conf-234,433.1354,-3586.447771,,27.76,151.05,255.23,0.00,,0.00,0.00,0.00,,,
,7,304,conf-304,424.3689,-3586.648117,,26.27,25.33,42.80,0.00,,0.00,0.00,0.00,,,
,8,315,conf-315,379.4421,-3586.6408,,17.54,29.92,50.56,0.00,,0.00,0.00,0.00,,,
,9,448,conf-448,396.0448,-3586.686041,,20.99,1.54,2.59,0.07,,0.07,29.57,27.50,,,
,10,472,conf-472,457.5556,-3586.456558,,31.61,145.54,245.91,0.00,,0.00,0.00,0.00,,,
,11,538,conf-538,421.9256,-3586.628508,,25.84,37.64,63.60,0.00,,0.00,0.00,0.00,,,
,12,549,conf-549,424.7862,-3586.641819,,26.34,29.29,49.48,0.00,,0.00,0.00,0.00,,,
,13,578,conf-578,430.8404,-3586.645683,,27.37,26.86,45.39,0.00,,0.00,0.00,0.00,,,
,14,669,conf-669,457.5643,-3586.471206,,31.62,136.34,230.38,0.00,,0.00,0.00,0.00,,,
,15,727,conf-727,410.8395,-3586.659306,,23.84,18.31,30.94,0.00,,0.00,0.00,0.00,,,
,16,746,conf-746,385.6865,-3586.644192,,18.87,27.80,46.97,0.00,,0.00,0.00,0.00,,,
,17,876,conf-876,439.0399,-3586.620353,,28.73,42.75,72.24,0.00,,0.00,0.00,0.00,,,
,18,883,conf-883,414.0656,-3586.653326,,24.43,22.06,37.28,0.00,,0.00,0.00,0.00,,,
,19,885,conf-885,442.7282,-3586.472843,,29.32,135.32,228.64,0.00,,0.00,0.00,0.00,,,
,20,929,conf-929,416.7325,-3586.637017,,24.92,32.30,54.57,0.00,,0.00,0.00,0.00,,,
,21,961,conf-961,408.8646,-3586.635361,,23.47,33.34,56.33,0.00,,0.00,0.00,0.00,,,
,22,962,conf-962,420.7175,-3586.662265,,25.63,16.46,27.80,0.00,,0.00,0.00,0.00,,,
,23,972,conf-972,429.5416,-3586.531659,,27.15,98.41,166.28,0.00,,0.00,0.00,0.00,,,
