(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,12,conf-12,332.6057,-3587.211851,312.9,5.92,5.78,9.77,0,1,0,0.02,0.02,341.72,341.7,8.43
,1,34,conf-34,379.8601,-3587.153642,,17.63,42.31,71.48,0,,0,0,0,,,
,2,123,conf-123,341.7044,-3587.221063,,8.43,0,0,1,,1,341.7,341.68,,,
,3,126,conf-126,388.6772,-3587.157013,,19.5,40.19,67.91,0,,0,0,0,,,
,4,156,conf-156,424.1917,-3587.112737,,26.24,67.98,114.86,0,,0,0,0,,,
,5,234,conf-234,398.5129,-3587.121365,,21.48,62.56,105.71,0,,0,0,0,,,
,6,288,conf-288,386.8119,-3587.157835,,19.11,39.68,67.04,0,,0,0,0,,,
,7,433,conf-433,426.6724,-3587.107127,,26.67,71.49,120.8,0,,0,0,0,,,
,8,446,conf-446,425.3325,-3587.131627,,26.43,56.12,94.83,0,,0,0,0,,,
,9,472,conf-472,395.4836,-3587.143639,,20.88,48.58,82.09,0,,0,0,0,,,
,10,535,conf-535,377.6377,-3587.137561,,17.14,52.4,88.54,0,,0,0,0,,,
,11,549,conf-549,422.1282,-3587.126761,,25.88,59.17,99.99,0,,0,0,0,,,
,12,727,conf-727,425.3798,-3587.079525,,26.44,88.82,150.07,0,,0,0,0,,,
,13,779,conf-779,410.336,-3587.125365,,23.75,60.05,101.47,0,,0,0,0,,,
,14,797,conf-797,383.2049,-3587.132832,,18.35,55.37,93.55,0,,0,0,0,,,
,15,831,conf-831,418.0778,-3587.108032,,25.16,70.93,119.84,0,,0,0,0,,,
,16,869,conf-869,411.5057,-3587.114113,,23.96,67.11,113.4,0,,0,0,0,,,
,17,876,conf-876,417.528,-3587.091764,,25.06,81.14,137.09,0,,0,0,0,,,
,18,879,conf-879,454.396,-3586.967827,,31.14,158.91,268.5,0,,0,0,0,,,
,19,883,conf-883,442.5243,-3587.050903,,29.29,106.78,180.42,0,,0,0,0,,,
,20,981,conf-981,403.1203,-3587.128574,,22.38,58.04,98.06,0,,0,0,0,,,
