(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,12,conf-12,321.096,-2312.062369,260.8,18.78,76.86,129.87,0.00,1.00,0.00,0.00,0.00,283.58,283.58,8.03
,1,34,conf-34,345.0735,-2312.077897,,24.42,67.11,113.40,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,314.4556,-2312.058433,,17.06,79.33,134.04,0.00,,0.00,0.00,0.00,,,
,3,205,conf-205,326.5453,-2312.042313,,20.13,89.44,151.13,0.00,,0.00,0.00,0.00,,,
,4,315,conf-315,337.7763,-2312.057559,,22.79,79.88,134.97,0.00,,0.00,0.00,0.00,,,
,5,404,conf-404,328.699,-2312.088101,,20.66,60.71,102.58,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,319.1218,-2312.126426,,18.28,36.66,61.95,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,340.5854,-2312.067285,,23.43,73.77,124.65,0.00,,0.00,0.00,0.00,,,
,8,497,conf-497,333.1482,-2312.068003,,21.72,73.32,123.89,0.00,,0.00,0.00,0.00,,,
,9,549,conf-549,330.2812,-2312.05832,,21.04,79.40,134.16,0.00,,0.00,0.00,0.00,,,
,10,705,conf-705,320.9535,-2312.066128,,18.74,74.50,125.88,0.00,,0.00,0.00,0.00,,,
,11,731,conf-731,326.5392,-2312.038353,,20.13,91.93,155.33,0.00,,0.00,0.00,0.00,,,
,12,772,conf-772,343.6048,-2312.062098,,24.10,77.03,130.15,0.00,,0.00,0.00,0.00,,,
,13,879,conf-879,325.6909,-2312.060837,,19.92,77.82,131.49,0.00,,0.00,0.00,0.00,,,
,14,883,conf-883,346.7384,-2312.072761,,24.78,70.34,118.85,0.00,,0.00,0.00,0.00,,,
,15,950,conf-950,283.5759,-2312.184852,,8.03,0.00,0.00,1.00,,1.00,283.58,283.58,,,
,16,962,conf-962,314.2235,-2312.089792,,17.00,59.65,100.79,0.00,,0.00,0.00,0.00,,,
