(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,102,conf-102,299.8272,-2312.210339,260.8,13.02,2.15,3.63,0.03,1.03,0.03,7.97,7.73,304.32,295.34,11.70
,1,112,conf-112,325.3592,-2312.06358,,19.84,94.24,159.23,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,295.203,-2312.213761,,11.65,0.00,0.00,1.00,,0.97,295.20,286.50,,,
,3,126,conf-126,331.8017,-2312.069982,,21.40,90.22,152.45,0.00,,0.00,0.00,0.00,,,
,4,156,conf-156,323.8381,-2312.18572,,19.47,17.60,29.73,0.00,,0.00,0.00,0.00,,,
,5,234,conf-234,303.0035,-2312.201375,,13.93,7.77,13.13,0.00,,0.00,0.00,0.00,,,
,6,252,conf-252,311.2778,-2312.187252,,16.22,16.63,28.11,0.00,,0.00,0.00,0.00,,,
,7,270,conf-270,313.4742,-2312.195281,,16.80,11.60,19.59,0.00,,0.00,0.00,0.00,,,
,8,497,conf-497,315.2741,-2312.196047,,17.28,11.12,18.78,0.00,,0.00,0.00,0.00,,,
,9,535,conf-535,324.4584,-2312.086498,,19.62,79.86,134.93,0.00,,0.00,0.00,0.00,,,
,10,549,conf-549,279.6137,-2312.183482,,6.73,19.00,32.10,0.00,,0.00,0.00,0.00,,,
,11,607,conf-607,334.978,-2312.098386,,22.14,72.40,122.33,0.00,,0.00,0.00,0.00,,,
,12,608,conf-608,314.5605,-2312.196158,,17.09,11.05,18.66,0.00,,0.00,0.00,0.00,,,
,13,669,conf-669,310.3461,-2312.20509,,15.96,5.44,9.19,0.00,,0.00,0.03,0.03,,,
,14,746,conf-746,316.4716,-2312.129057,,17.59,53.15,89.81,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,300.4141,-2312.208483,,13.19,3.31,5.60,0.00,,0.00,1.11,1.08,,,
,16,883,conf-883,299.7975,-2312.206616,,13.01,4.48,7.58,0.00,,0.00,0.15,0.15,,,
