(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,102,conf-102,309.3444,-2312.321598,260.8,15.69,6.36,10.75,0.00,1.00,0.00,0.01,0.01,290.89,290.88,10.34
,1,112,conf-112,325.3592,-2312.144849,,19.84,117.27,198.15,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,290.8789,-2312.331737,,10.34,0.00,0.00,1.00,,1.00,290.88,290.87,,,
,3,126,conf-126,329.4802,-2312.17039,,20.85,101.25,171.07,0.00,,0.00,0.00,0.00,,,
,4,156,conf-156,320.3043,-2312.309667,,18.58,13.85,23.40,0.00,,0.00,0.00,0.00,,,
,5,234,conf-234,306.3105,-2312.307803,,14.86,15.02,25.38,0.00,,0.00,0.00,0.00,,,
,6,252,conf-252,291.0418,-2312.297104,,10.39,21.73,36.72,0.00,,0.00,0.00,0.00,,,
,7,270,conf-270,314.602,-2312.294359,,17.10,23.46,39.63,0.00,,0.00,0.00,0.00,,,
,8,497,conf-497,318.0766,-2312.311417,,18.01,12.75,21.55,0.00,,0.00,0.00,0.00,,,
,9,535,conf-535,317.4007,-2312.231122,,17.83,63.14,106.68,0.00,,0.00,0.00,0.00,,,
,10,549,conf-549,293.2997,-2312.263163,,11.08,43.03,72.71,0.00,,0.00,0.00,0.00,,,
,11,607,conf-607,342.3692,-2312.233581,,23.82,61.59,104.07,0.00,,0.00,0.00,0.00,,,
,12,608,conf-608,324.6933,-2312.305,,19.68,16.78,28.35,0.00,,0.00,0.00,0.00,,,
,13,669,conf-669,308.6334,-2312.314545,,15.50,10.79,18.23,0.00,,0.00,0.00,0.00,,,
,14,746,conf-746,294.8531,-2312.320931,,11.55,6.78,11.46,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,307.9394,-2312.320533,,15.31,7.03,11.88,0.00,,0.00,0.00,0.00,,,
,16,883,conf-883,316.2442,-2312.321008,,17.53,6.73,11.38,0.00,,0.00,0.00,0.00,,,
,17,961,conf-961,263.5837,-2312.296083,,1.06,22.37,37.80,0.00,,0.00,0.00,0.00,,,
