(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,102,conf-102,312.3448,-2312.235738,260.8,16.50,8.63,14.58,0.00,1.00,0.00,0.00,0.00,290.88,290.83,10.33
,1,112,conf-112,305.4723,-2312.186305,,14.62,39.65,66.99,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,290.8329,-2312.249491,,10.33,0.00,0.00,1.00,,1.00,290.83,290.79,,,
,3,126,conf-126,330.3495,-2312.090949,,21.05,99.49,168.10,0.00,,0.00,0.00,0.00,,,
,4,156,conf-156,321.8453,-2312.214968,,18.97,21.66,36.60,0.00,,0.00,0.00,0.00,,,
,5,234,conf-234,305.7741,-2312.225231,,14.71,15.22,25.72,0.00,,0.00,0.00,0.00,,,
,6,252,conf-252,304.6372,-2312.214354,,14.39,22.05,37.26,0.00,,0.00,0.00,0.00,,,
,7,270,conf-270,314.7093,-2312.212533,,17.13,23.19,39.19,0.00,,0.00,0.00,0.00,,,
,8,497,conf-497,318.2333,-2312.228058,,18.05,13.45,22.73,0.00,,0.00,0.00,0.00,,,
,9,535,conf-535,316.8482,-2312.149398,,17.69,62.81,106.13,0.00,,0.00,0.00,0.00,,,
,10,549,conf-549,300.5195,-2312.171989,,13.22,48.63,82.17,0.00,,0.00,0.00,0.00,,,
,11,607,conf-607,336.4279,-2312.135811,,22.48,71.33,120.53,0.00,,0.00,0.00,0.00,,,
,12,608,conf-608,322.695,-2312.220452,,19.18,18.22,30.79,0.00,,0.00,0.00,0.00,,,
,13,669,conf-669,311.429,-2312.224037,,16.26,15.97,26.99,0.00,,0.00,0.00,0.00,,,
,14,746,conf-746,295.8714,-2312.238479,,11.85,6.91,11.68,0.00,,0.00,0.00,0.00,,,
,15,879,conf-879,292.2295,-2312.241118,,10.76,5.25,8.88,0.00,,0.00,0.04,0.04,,,
,16,883,conf-883,316.2364,-2312.237239,,17.53,7.69,12.99,0.00,,0.00,0.00,0.00,,,
,17,961,conf-961,264.8489,-2312.213956,,1.53,22.30,37.68,0.00,,0.00,0.00,0.00,,,
