(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,12,conf-12,302.4205,-2312.051945,260.8,13.76,58.68,99.15,0.00,1.00,0.00,0.00,0.00,273.94,273.94,4.80
,1,34,conf-34,346.0894,-2311.922298,,24.64,140.03,236.61,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,314.4556,-2311.921039,,17.06,140.82,237.95,0.00,,0.00,0.00,0.00,,,
,3,315,conf-315,273.9425,-2312.145459,,4.80,0.00,0.00,1.00,,1.00,273.94,273.94,,,
,4,404,conf-404,278.9641,-2312.068638,,6.51,48.20,81.45,0.00,,0.00,0.00,0.00,,,
,5,472,conf-472,317.3315,-2312.107955,,17.81,23.53,39.76,0.00,,0.00,0.00,0.00,,,
,6,474,conf-474,340.5854,-2311.936381,,23.43,131.20,221.68,0.00,,0.00,0.00,0.00,,,
,7,549,conf-549,330.272,-2311.920921,,21.03,140.90,238.07,0.00,,0.00,0.00,0.00,,,
,8,705,conf-705,319.5886,-2311.958374,,18.40,117.40,198.36,0.00,,0.00,0.00,0.00,,,
,9,731,conf-731,326.5392,-2311.902462,,20.13,152.48,257.64,0.00,,0.00,0.00,0.00,,,
,10,772,conf-772,318.1358,-2312.108836,,18.02,22.98,38.83,0.00,,0.00,0.00,0.00,,,
,11,879,conf-879,325.5466,-2311.91748,,19.89,143.06,241.72,0.00,,0.00,0.00,0.00,,,
,12,883,conf-883,348.6961,-2311.945349,,25.21,125.57,212.17,0.00,,0.00,0.00,0.00,,,
,13,950,conf-950,292.3426,-2312.122049,,10.79,14.69,24.82,0.00,,0.00,0.00,0.00,,,
,14,962,conf-962,290.0633,-2312.123707,,10.09,13.65,23.06,0.00,,0.00,0.00,0.00,,,
