(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,12,conf-12,332.2773,-2312.052811,260.8,21.51,141.06,238.34,0,1,0,0,0,283.3,283.3,7.94
,1,34,conf-34,346.0894,-2312.051856,,24.64,141.66,239.35,0,,0,0,0,,,
,2,102,conf-102,300.8463,-2312.203936,,13.31,46.23,78.11,0,,0,0,0,,,
,3,315,conf-315,283.3025,-2312.277602,,7.94,0,0,1,,1,283.3,283.3,,,
,4,404,conf-404,273.8705,-2312.216467,,4.77,38.36,64.82,0,,0,0,0,,,
,5,472,conf-472,325.9232,-2312.153174,,19.98,78.08,131.93,0,,0,0,0,,,
,6,474,conf-474,340.5854,-2312.067285,,23.43,131.97,222.99,0,,0,0,0,,,
,7,549,conf-549,330.035,-2312.081119,,20.98,123.29,208.33,0,,0,0,0,,,
,8,705,conf-705,314.2997,-2312.095332,,17.02,114.37,193.26,0,,0,0,0,,,
,9,731,conf-731,326.5392,-2312.038353,,20.13,150.13,253.67,0,,0,0,0,,,
,10,772,conf-772,290.7803,-2312.240258,,10.31,23.43,39.59,0,,0,0,0,,,
,11,879,conf-879,323.4827,-2312.082196,,19.38,122.62,207.18,0,,0,0,0,,,
,12,883,conf-883,338.7439,-2312.147248,,23.01,81.8,138.21,0,,0,0,0,,,
,13,950,conf-950,296.0059,-2312.173811,,11.89,65.13,110.05,0,,0,0,0,,,
,14,962,conf-962,285.7554,-2312.246264,,8.73,19.66,33.23,0,,0,0,0,,,
