(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,12,conf-12,332.2773,-2312.135231,260.8,21.51,136.44,230.54,0.00,1.00,0.00,0.00,0.00,266.59,266.52,2.15
,1,34,conf-34,346.0894,-2312.134657,,24.64,136.80,231.15,0.00,,0.00,0.00,0.00,,,
,2,102,conf-102,300.5394,-2312.170023,,13.22,114.61,193.65,0.00,,0.00,0.00,0.00,,,
,3,315,conf-315,337.7763,-2312.140327,,22.79,133.24,225.14,0.00,,0.00,0.00,0.00,,,
,4,404,conf-404,325.3727,-2312.18847,,19.85,103.03,174.09,0.00,,0.00,0.00,0.00,,,
,5,472,conf-472,333.6789,-2312.18939,,21.84,102.45,173.11,0.00,,0.00,0.00,0.00,,,
,6,474,conf-474,340.5854,-2312.150008,,23.43,127.17,214.87,0.00,,0.00,0.00,0.00,,,
,7,549,conf-549,330.272,-2312.140864,,21.03,132.90,224.57,0.00,,0.00,0.00,0.00,,,
,8,705,conf-705,266.5117,-2312.352664,,2.14,0.00,0.00,1.00,,1.00,266.51,266.44,,,
,9,731,conf-731,326.5392,-2312.120947,,20.13,145.40,245.68,0.00,,0.00,0.00,0.00,,,
,10,772,conf-772,295.8323,-2312.32606,,11.84,16.69,28.21,0.00,,0.00,0.00,0.00,,,
,11,879,conf-879,321.9697,-2312.169677,,19.00,114.82,194.02,0.00,,0.00,0.00,0.00,,,
,12,883,conf-883,313.827,-2312.323208,,16.90,18.48,31.23,0.00,,0.00,0.00,0.00,,,
,13,950,conf-950,287.1526,-2312.344889,,9.18,4.88,8.24,0.00,,0.00,0.08,0.08,,,
,14,962,conf-962,284.3407,-2312.304702,,8.28,30.10,50.85,0.00,,0.00,0.00,0.00,,,
