(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,102,conf-102,219.2464,-1582.167522,213.3,2.71,44.18,74.65,0.00,1.00,0.00,0.00,0.00,213.69,213.69,0.18
,1,197,conf-197,229.228,-1582.167676,,6.95,44.08,74.49,0.00,,0.00,0.00,0.00,,,
,2,302,conf-302,213.6871,-1582.23793,,0.18,0.00,0.00,1.00,,1.00,213.69,213.69,,,
,3,448,conf-448,248.4514,-1582.14237,,14.15,59.96,101.32,0.00,,0.00,0.00,0.00,,,
,4,472,conf-472,250.3975,-1582.150459,,14.82,54.89,92.74,0.00,,0.00,0.00,0.00,,,
,5,535,conf-535,234.6081,-1582.168192,,9.08,43.76,73.94,0.00,,0.00,0.00,0.00,,,
,6,549,conf-549,220.47,-1582.171349,,3.25,41.78,70.59,0.00,,0.00,0.00,0.00,,,
,7,617,conf-617,227.8739,-1582.160184,,6.40,48.79,82.43,0.00,,0.00,0.00,0.00,,,
,8,746,conf-746,226.1121,-1582.147945,,5.67,56.47,95.41,0.00,,0.00,0.00,0.00,,,
,9,779,conf-779,248.6675,-1582.131552,,14.22,66.75,112.79,0.00,,0.00,0.00,0.00,,,
,10,828,conf-828,229.9482,-1582.173436,,7.24,40.47,68.38,0.00,,0.00,0.00,0.00,,,
,11,883,conf-883,240.2814,-1582.157388,,11.23,50.54,85.40,0.00,,0.00,0.00,0.00,,,
,12,950,conf-950,229.3059,-1582.157935,,6.98,50.20,84.82,0.00,,0.00,0.00,0.00,,,
