(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,156,conf-156,226.8939,-1582.23299,213.3,5.99,14.61,24.68,0.00,1.00,0.00,0.00,0.00,216.42,216.40,1.43
,1,197,conf-197,247.9095,-1582.214952,,13.96,25.93,43.81,0.00,,0.00,0.00,0.00,,,
,2,231,conf-231,243.944,-1582.206529,,12.56,31.21,52.74,0.00,,0.00,0.00,0.00,,,
,3,234,conf-234,236.2152,-1582.224822,,9.70,19.73,33.34,0.00,,0.00,0.00,0.00,,,
,4,433,conf-433,242.7042,-1582.237666,,12.12,11.67,19.72,0.00,,0.00,0.00,0.00,,,
,5,448,conf-448,233.4776,-1582.238146,,8.64,11.37,19.21,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,213.5189,-1582.242265,,0.10,8.79,14.85,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,239.4766,-1582.234868,,10.93,13.43,22.69,0.00,,0.00,0.00,0.00,,,
,8,669,conf-669,227.0012,-1582.219621,,6.04,23.00,38.86,0.00,,0.00,0.00,0.00,,,
,9,684,conf-684,233.8383,-1582.23643,,8.78,12.45,21.03,0.00,,0.00,0.00,0.00,,,
,10,841,conf-841,226.8217,-1582.231355,,5.96,15.63,26.42,0.00,,0.00,0.00,0.00,,,
,11,862,conf-862,235.9728,-1582.213678,,9.61,26.73,45.16,0.00,,0.00,0.00,0.00,,,
,12,879,conf-879,216.4039,-1582.256269,,1.43,0.00,0.00,1.00,,1.00,216.40,216.39,,,
,13,883,conf-883,229.3115,-1582.246961,,6.98,5.84,9.87,0.00,,0.00,0.01,0.01,,,
,14,948,conf-948,217.8555,-1582.242441,,2.09,8.68,14.66,0.00,,0.00,0.00,0.00,,,
,15,962,conf-962,227.7438,-1582.234643,,6.34,13.57,22.93,0.00,,0.00,0.00,0.00,,,
,16,966,conf-966,233.3504,-1582.227449,,8.59,18.08,30.56,0.00,,0.00,0.00,0.00,,,
