,order,file,ave_TM_CS,HF_energy
0,102,conf-102,251.3826,-1582.112355
1,123,conf-123,236.4388,-1582.133123
2,156,conf-156,249.7942,-1582.1203783
3,197,conf-197,244.3429,-1582.1578720999998
4,204,conf-204,250.3793,-1582.1465702
5,234,conf-234,223.4408,-1582.1273204000001
6,353,conf-353,250.8974,-1582.1404477
7,448,conf-448,247.5288,-1582.1071182
8,472,conf-472,250.9862,-1582.1319104
9,474,conf-474,238.4633,-1582.1514482
10,549,conf-549,252.9528,-1582.104464
11,669,conf-669,249.2603,-1582.1140407999999
12,684,conf-684,254.8144,-1582.1172112
13,727,conf-727,234.8701,-1582.1519894
14,879,conf-879,232.4208,-1582.155082
15,883,conf-883,244.2818,-1582.0989732
16,962,conf-962,237.1153,-1582.1685548
