(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,156,conf-156,229.5768,-1582.306159,213.3,7.09,16.35,27.63,0.00,1.00,0.00,0.00,0.00,218.19,218.18,2.24
,1,197,conf-197,260.8574,-1582.282934,,18.23,30.93,52.26,0.00,,0.00,0.00,0.00,,,
,2,231,conf-231,245.6092,-1582.279981,,13.15,32.78,55.39,0.00,,0.00,0.00,0.00,,,
,3,234,conf-234,238.5024,-1582.299577,,10.57,20.48,34.61,0.00,,0.00,0.00,0.00,,,
,4,433,conf-433,243.2544,-1582.30918,,12.31,14.46,24.43,0.00,,0.00,0.00,0.00,,,
,5,448,conf-448,237.8181,-1582.308691,,10.31,14.76,24.95,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,230.1138,-1582.31084,,7.31,13.42,22.67,0.00,,0.00,0.00,0.00,,,
,7,474,conf-474,252.9302,-1582.279122,,15.67,33.32,56.30,0.00,,0.00,0.00,0.00,,,
,8,669,conf-669,225.5857,-1582.295928,,5.45,22.77,38.48,0.00,,0.00,0.00,0.00,,,
,9,684,conf-684,214.3084,-1582.322166,,0.47,6.31,10.66,0.00,,0.00,0.01,0.01,,,
,10,841,conf-841,249.0967,-1582.285418,,14.37,29.37,49.62,0.00,,0.00,0.00,0.00,,,
,11,862,conf-862,212.234,-1582.320809,,0.50,7.16,12.10,0.00,,0.00,0.00,0.00,,,
,12,879,conf-879,218.1797,-1582.33222,,2.24,0.00,0.00,1.00,,1.00,218.18,218.17,,,
,13,883,conf-883,234.9897,-1582.320015,,9.23,7.66,12.94,0.00,,0.00,0.00,0.00,,,
,14,948,conf-948,220.0611,-1582.314906,,3.07,10.86,18.36,0.00,,0.00,0.00,0.00,,,
,15,962,conf-962,230.6356,-1582.307566,,7.52,15.47,26.14,0.00,,0.00,0.00,0.00,,,
,16,966,conf-966,235.7019,-1582.294285,,9.50,23.80,40.22,0.00,,0.00,0.00,0.00,,,
