(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,156,conf-156,243.2364,-1582.129366,213.3,12.31,28.17,47.59,0.00,1.00,0.00,0.00,0.00,227.57,226.88,5.98
,1,197,conf-197,266.9548,-1582.138883,,20.10,22.20,37.50,0.00,,0.00,0.00,0.00,,,
,2,231,conf-231,258.3281,-1582.125182,,17.43,30.79,52.03,0.00,,0.00,0.00,0.00,,,
,3,234,conf-234,226.8732,-1582.174254,,5.98,0.00,0.00,1.00,,1.00,226.87,226.18,,,
,4,433,conf-433,248.6489,-1582.157664,,14.22,10.41,17.59,0.00,,0.00,0.00,0.00,,,
,5,448,conf-448,245.9358,-1582.158967,,13.27,9.59,16.21,0.00,,0.00,0.00,0.00,,,
,6,472,conf-472,223.1115,-1582.168379,,4.40,3.69,6.23,0.00,,0.00,0.44,0.44,,,
,7,474,conf-474,254.524,-1582.143892,,16.20,19.05,32.19,0.00,,0.00,0.00,0.00,,,
,8,669,conf-669,246.8507,-1582.135269,,13.59,24.46,41.33,0.00,,0.00,0.00,0.00,,,
,9,684,conf-684,238.6347,-1582.157236,,10.62,10.68,18.04,0.00,,0.00,0.00,0.00,,,
,10,841,conf-841,253.4118,-1582.136164,,15.83,23.90,40.39,0.00,,0.00,0.00,0.00,,,
,11,862,conf-862,218.7294,-1582.154923,,2.48,12.13,20.50,0.00,,0.00,0.00,0.00,,,
,12,879,conf-879,236.5056,-1582.16232,,9.81,7.49,12.65,0.00,,0.00,0.00,0.00,,,
,13,883,conf-883,238.0906,-1582.167812,,10.41,4.04,6.83,0.00,,0.00,0.26,0.26,,,
,14,948,conf-948,223.7483,-1582.154959,,4.67,12.11,20.46,0.00,,0.00,0.00,0.00,,,
,15,962,conf-962,244.2573,-1582.147935,,12.67,16.52,27.91,0.00,,0.00,0.00,0.00,,,
,16,966,conf-966,240.4085,-1582.14366,,11.28,19.20,32.44,0.00,,0.00,0.00,0.00,,,
