(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,102,conf-102,226.428,-1582.089904,213.3,5.80,2.97,5.01,0.01,2.52,0.00,1.50,0.60,585.35,232.16,8.13
,1,197,conf-197,238.2059,-1582.08313,,10.46,7.22,12.20,0.00,,0.00,0.00,0.00,,,
,2,302,conf-302,237.8284,-1582.094158,,10.31,0.30,0.50,0.60,,0.24,143.82,57.04,,,
,3,448,conf-448,261.8541,-1582.070086,,18.54,15.40,26.03,0.00,,0.00,0.00,0.00,,,
,4,472,conf-472,253.6335,-1582.079088,,15.90,9.75,16.48,0.00,,0.00,0.00,0.00,,,
,5,535,conf-535,235.4706,-1582.094522,,9.42,0.07,0.12,0.89,,0.35,209.53,83.10,,,
,6,549,conf-549,233.0483,-1582.090844,,8.47,2.38,4.02,0.02,,0.01,4.20,1.67,,,
,7,617,conf-617,234.0395,-1582.078396,,8.86,10.19,17.22,0.00,,0.00,0.00,0.00,,,
,8,746,conf-746,246.0996,-1582.069436,,13.33,15.81,26.71,0.00,,0.00,0.00,0.00,,,
,9,779,conf-779,259.3533,-1582.061655,,17.76,20.69,34.97,0.00,,0.00,0.00,0.00,,,
,10,828,conf-828,237.786,-1582.088794,,10.30,3.66,6.19,0.00,,0.00,0.49,0.19,,,
,11,883,conf-883,225.808,-1582.094633,,5.54,0.00,0.00,1.00,,0.40,225.81,89.56,,,
,12,950,conf-950,237.7388,-1582.083005,,10.28,7.30,12.33,0.00,,0.00,0.00,0.00,,,
