(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,34,conf-34,246.9667,-1582.162082,213.3,13.63,67.82,114.59,0.00,1.00,0.00,0.00,0.00,217.92,217.68,2.01
,1,112,conf-112,246.9798,-1582.153248,,13.64,73.36,123.96,0.00,,0.00,0.00,0.00,,,
,2,123,conf-123,228.0241,-1582.190167,,6.46,50.19,84.81,0.00,,0.00,0.00,0.00,,,
,3,156,conf-156,236.14,-1582.196896,,9.67,45.97,77.68,0.00,,0.00,0.00,0.00,,,
,4,217,conf-217,226.7305,-1582.255362,,5.92,9.28,15.69,0.00,,0.00,0.00,0.00,,,
,5,234,conf-234,206.8531,-1582.249552,,3.12,12.93,21.85,0.00,,0.00,0.00,0.00,,,
,6,304,conf-304,237.5091,-1582.163623,,10.19,66.85,112.96,0.00,,0.00,0.00,0.00,,,
,7,472,conf-472,241.7374,-1582.184801,,11.76,53.56,90.50,0.00,,0.00,0.00,0.00,,,
,8,474,conf-474,217.6798,-1582.270157,,2.01,0.00,0.00,1.00,,1.00,217.68,217.44,,,
,9,578,conf-578,222.2029,-1582.170339,,4.01,62.64,105.83,0.00,,0.00,0.00,0.00,,,
,10,600,conf-600,223.9908,-1582.237468,,4.77,20.51,34.66,0.00,,0.00,0.00,0.00,,,
,11,605,conf-605,220.02,-1582.263723,,3.05,4.04,6.82,0.00,,0.00,0.24,0.24,,,
,12,617,conf-617,226.9846,-1582.224278,,6.03,28.79,48.64,0.00,,0.00,0.00,0.00,,,
,13,684,conf-684,254.9276,-1582.132975,,16.33,86.08,145.45,0.00,,0.00,0.00,0.00,,,
,14,727,conf-727,231.1524,-1582.186796,,7.72,52.31,88.39,0.00,,0.00,0.00,0.00,,,
,15,746,conf-746,214.8174,-1582.24193,,0.71,17.71,29.93,0.00,,0.00,0.00,0.00,,,
,16,879,conf-879,221.7554,-1582.216112,,3.81,33.91,57.30,0.00,,0.00,0.00,0.00,,,
,17,883,conf-883,236.6385,-1582.183569,,9.86,54.33,91.81,0.00,,0.00,0.00,0.00,,,
,18,950,conf-950,225.7476,-1582.201863,,5.51,42.85,72.41,0.00,,0.00,0.00,0.00,,,
,19,962,conf-962,221.9373,-1582.248611,,3.89,13.52,22.85,0.00,,0.00,0.00,0.00,,,
