(+1) charge,,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
N2 gas,0,102,conf-102,222.6047,-1582.183639,213.3,4.18,37.25,62.95,0.00,1.00,0.00,0.00,0.00,214.57,214.57,0.59
,1,197,conf-197,223.0052,-1582.194084,,4.35,30.70,51.87,0.00,,0.00,0.00,0.00,,,
,2,302,conf-302,233.3851,-1582.186207,,8.61,35.64,60.22,0.00,,0.00,0.00,0.00,,,
,3,448,conf-448,247.3686,-1582.177328,,13.77,41.21,69.64,0.00,,0.00,0.00,0.00,,,
,4,472,conf-472,251.591,-1582.161382,,15.22,51.22,86.55,0.00,,0.00,0.00,0.00,,,
,5,535,conf-535,224.6071,-1582.185947,,5.03,35.81,60.50,0.00,,0.00,0.00,0.00,,,
,6,549,conf-549,224.4007,-1582.183468,,4.95,37.36,63.13,0.00,,0.00,0.00,0.00,,,
,7,617,conf-617,232.7363,-1582.164494,,8.35,49.27,83.25,0.00,,0.00,0.00,0.00,,,
,8,746,conf-746,235.9755,-1582.158057,,9.61,53.31,90.07,0.00,,0.00,0.00,0.00,,,
,9,779,conf-779,214.5714,-1582.243007,,0.59,0.00,0.00,1.00,,1.00,214.57,214.57,,,
,10,828,conf-828,235.694,-1582.181444,,9.50,38.63,65.27,0.00,,0.00,0.00,0.00,,,
,11,883,conf-883,225.2493,-1582.193388,,5.30,31.14,52.61,0.00,,0.00,0.00,0.00,,,
,12,950,conf-950,235.0087,-1582.175567,,9.24,42.32,71.50,0.00,,0.00,0.00,0.00,,,
