percent nonpolar,number nonpolar,max,min,STD,length,negative values,positive values,middle,first,last,corrector
0.33,1,4.38,-0.34,1.62,3,1,2,-0.34,3.173,4.383,1
0.33,1,3.17,1.68,1.15,3,0,3,1.68,3.173,2.101,1
0.33,1,2.1,-0.37,0.7,3,2,1,-0.32,-0.37,2.101,0
0.67,2,4.38,-0.53,1.42,3,2,1,-0.53,-0.27,4.383,1
0.25,1,4.38,-0.27,1.27,4,1,3,0.85,3.173,4.383,0
0.50,2,4.38,-0.37,1.19,4,2,2,2.35,-0.37,4.383,0
0.75,3,2.1,-0.34,0.53,4,2,2,-0.31,0.386,2.101,1
0.25,1,4.38,-0.37,1.27,4,1,3,2.35,2.354,4.383,1
0.20,1,9.57,-0.37,2.03,5,1,4,0.94,-0.37,4.383,1
0.60,3,2.18,-0.53,0.61,5,3,2,-0.31,-0.528,2.101,0
0.60,3,2.1,-0.49,0.47,5,3,2,0.94,-0.342,2.101,0
0.60,3,4.38,-0.49,0.89,5,3,2,0.94,-0.308,4.383,1
0.67,4,4.38,-0.49,0.75,6,4,2,-0.31,-0.495,4.383,1
1.00,6,0.39,0.39,0.14,6,0,6,0.39,0.386,0.386,1
0.67,4,2.1,-0.49,0.48,6,3,3,-0.34,-0.308,2.101,1
0.57,4,3.17,-0.49,0.56,7,4,3,-0.31,-0.495,2.101,0
0.71,5,4.38,-0.49,0.8,7,4,3,1.68,-0.37,4.383,0
0.43,3,2.35,-0.53,0.49,7,2,5,0.85,2.354,2.101,0
0.57,4,4.38,-0.49,0.78,7,4,3,3.17,0.853,4.383,0
0.57,4,4.38,-0.53,0.74,7,3,4,2.18,0.853,4.383,0
1.00,8,0.39,0.39,0.13,8,0,8,0.39,0.386,0.386,1
0.56,5,3.17,-0.53,0.56,9,5,4,-0.34,-0.495,2.101,0
0.60,6,2.18,-0.49,0.28,10,6,4,2.18,-0.342,-0.495,1
1.00,10,0.39,0.39,0.12,10,0,10,0.39,0.386,0.386,1
0.636,7,9.573,-0.495,0.9934,11,5,6,-0.342,9.573,4.383,0
